,code,class,date,avg,DOY
478,bukhan,0,2004-04-22,0.3923272345800025,113
486,bukhan,0,2004-04-30,0.4432838433479757,121
494,bukhan,0,2004-05-08,0.45279077619574476,129
502,bukhan,0,2004-05-16,0.4539964513814808,137
510,bukhan,0,2004-05-24,0.45374010302035894,145
518,bukhan,0,2004-06-01,0.4530946372490329,153
526,bukhan,0,2004-06-09,0.4521714328926308,161
534,bukhan,0,2004-06-17,0.45091200619616817,169
542,bukhan,0,2004-06-25,0.44920669999048773,177
550,bukhan,0,2004-07-03,0.4469065520455042,185
558,bukhan,0,2004-07-11,0.44381797552306274,193
566,bukhan,0,2004-07-19,0.43969530442245996,201
574,bukhan,0,2004-07-27,0.4342357197459034,209
582,bukhan,0,2004-08-04,0.4270810093448747,217
590,bukhan,0,2004-08-12,0.41783246242856814,225
598,bukhan,0,2004-08-20,0.4060867953511487,233
606,bukhan,0,2004-08-28,0.39150017104750423,241
614,bukhan,0,2004-09-05,0.3738810401303741,249
622,bukhan,0,2004-09-13,0.35329828320654455,257
630,bukhan,0,2004-09-21,0.33017134392019865,265
638,bukhan,0,2004-09-29,0.3052951590505809,273
646,bukhan,0,2004-10-07,0.2797622541098383,281
654,bukhan,0,2004-10-15,0.25478509629676127,289
662,bukhan,0,2004-10-23,0.2314743617029505,297
670,bukhan,0,2004-10-31,0.2106547525289059,305
678,bukhan,0,2004-11-08,0.19277777919338576,313
686,bukhan,0,2004-11-16,0.177939074354559,321
694,bukhan,0,2004-11-24,0.16596490804874953,329
702,bukhan,0,2004-12-02,0.15652037660895185,337
710,bukhan,0,2004-12-10,0.14920431997586625,345
718,bukhan,0,2004-12-18,0.1436158949211127,353
726,bukhan,0,2004-12-26,0.13939264658491715,361
731,bukhan,0,2005-01-01,0.13575343359771705,1
739,bukhan,0,2005-01-09,0.13575342732564818,9
747,bukhan,0,2005-01-17,0.135753416994133,17
755,bukhan,0,2005-01-25,0.1357533999845171,25
763,bukhan,0,2005-02-02,0.1357533720604109,33
771,bukhan,0,2005-02-10,0.1357533269561861,41
779,bukhan,0,2005-02-18,0.13575326090837175,49
787,bukhan,0,2005-02-26,0.13575322800931405,57
795,bukhan,0,2005-03-06,0.13575387162989191,65
803,bukhan,0,2005-03-14,0.1357613467250378,73
811,bukhan,0,2005-03-22,0.13583261614041137,81
819,bukhan,0,2005-03-30,0.13649067730970416,89
827,bukhan,0,2005-04-07,0.1424359281144853,97
835,bukhan,0,2005-04-15,0.18909483039744795,105
843,bukhan,0,2005-04-23,0.3572224178650183,113
851,bukhan,0,2005-05-01,0.47275718341397505,121
859,bukhan,0,2005-05-09,0.493021964652965,129
867,bukhan,0,2005-05-17,0.4953572219411706,137
875,bukhan,0,2005-05-25,0.49558472769898504,145
883,bukhan,0,2005-06-02,0.49556273174623394,153
891,bukhan,0,2005-06-10,0.49548332522356536,161
899,bukhan,0,2005-06-18,0.4953478927061994,169
907,bukhan,0,2005-06-26,0.4951244918490733,177
915,bukhan,0,2005-07-04,0.494757008219526,185
923,bukhan,0,2005-07-12,0.49415324199185345,193
931,bukhan,0,2005-07-20,0.4931630068678435,201
939,bukhan,0,2005-07-28,0.49154356155782963,209
947,bukhan,0,2005-08-05,0.4889074362248049,217
955,bukhan,0,2005-08-13,0.4846488132313217,225
963,bukhan,0,2005-08-21,0.4778527243400895,233
971,bukhan,0,2005-08-29,0.46721618434187695,241
979,bukhan,0,2005-09-06,0.45106551132496825,249
987,bukhan,0,2005-09-14,0.42763586846281487,257
995,bukhan,0,2005-09-22,0.39580252756272244,265
1003,bukhan,0,2005-09-30,0.3561956319404982,273
1011,bukhan,0,2005-10-08,0.311978957409391,281
1019,bukhan,0,2005-10-16,0.26820996685587434,289
1027,bukhan,0,2005-10-24,0.22974983666757443,297
1035,bukhan,0,2005-11-01,0.19933571619393375,305
1043,bukhan,0,2005-11-09,0.17722787516554742,313
1051,bukhan,0,2005-11-17,0.16212304890348492,321
1059,bukhan,0,2005-11-25,0.15223464810923543,329
1067,bukhan,0,2005-12-03,0.14594107323564467,337
1075,bukhan,0,2005-12-11,0.14200702827704736,345
1083,bukhan,0,2005-12-19,0.13957554867438354,353
1091,bukhan,0,2005-12-27,0.1380832342303972,361
1096,bukhan,0,2006-01-01,0.13388428134630326,1
1104,bukhan,0,2006-01-09,0.13388009008897184,9
1112,bukhan,0,2006-01-17,0.13387444445115315,17
1120,bukhan,0,2006-01-25,0.13386687160702748,25
1128,bukhan,0,2006-02-02,0.13385684744939644,33
1136,bukhan,0,2006-02-10,0.1338441430682271,41
1144,bukhan,0,2006-02-18,0.1338304571002077,49
1152,bukhan,0,2006-02-26,0.13382650576366256,57
1160,bukhan,0,2006-03-06,0.13388208239865898,65
1168,bukhan,0,2006-03-14,0.1342122895629441,73
1176,bukhan,0,2006-03-22,0.13572160266714772,81
1184,bukhan,0,2006-03-30,0.14209598838505647,89
1192,bukhan,0,2006-04-07,0.1668750716392461,97
1200,bukhan,0,2006-04-15,0.24315853210346658,105
1208,bukhan,0,2006-04-23,0.37454639262934813,113
1216,bukhan,0,2006-05-01,0.4707136127696033,121
1224,bukhan,0,2006-05-09,0.5058819049520974,129
1232,bukhan,0,2006-05-17,0.5149779905277602,137
1240,bukhan,0,2006-05-25,0.5166601747098809,145
1248,bukhan,0,2006-06-02,0.5163148437116182,153
1256,bukhan,0,2006-06-10,0.5152258756447644,161
1264,bukhan,0,2006-06-18,0.5136180998400633,169
1272,bukhan,0,2006-06-26,0.5114344778500077,177
1280,bukhan,0,2006-07-04,0.5085184971078548,185
1288,bukhan,0,2006-07-12,0.5046515436831975,193
1296,bukhan,0,2006-07-20,0.4995567137228917,201
1304,bukhan,0,2006-07-28,0.4928981137294743,209
1312,bukhan,0,2006-08-05,0.4842862974502035,217
1320,bukhan,0,2006-08-13,0.473297540513177,225
1328,bukhan,0,2006-08-21,0.459514580858236,233
1336,bukhan,0,2006-08-29,0.44259459134247603,241
1344,bukhan,0,2006-09-06,0.4223632719996404,249
1352,bukhan,0,2006-09-14,0.39892033400209,257
1360,bukhan,0,2006-09-22,0.3727241673648242,265
1368,bukhan,0,2006-09-30,0.344612465293164,273
1376,bukhan,0,2006-10-08,0.3157254623618773,281
1384,bukhan,0,2006-10-16,0.2873347855621531,289
1392,bukhan,0,2006-10-24,0.2606273566664605,297
1400,bukhan,0,2006-11-01,0.23651853107327767,305
1408,bukhan,0,2006-11-09,0.2155523933538166,313
1416,bukhan,0,2006-11-17,0.19790269774968086,321
1424,bukhan,0,2006-11-25,0.1834470971803335,329
1432,bukhan,0,2006-12-03,0.17187137094796912,337
1440,bukhan,0,2006-12-11,0.16276792582254726,345
1448,bukhan,0,2006-12-19,0.15571004398113597,353
1456,bukhan,0,2006-12-27,0.15029830222855536,361
1461,bukhan,0,2007-01-01,0.14221432246275315,1
1469,bukhan,0,2007-01-09,0.14221432249157107,9
1477,bukhan,0,2007-01-17,0.14221432269861173,17
1485,bukhan,0,2007-01-25,0.14221432402629727,25
1493,bukhan,0,2007-02-02,0.14221433227286173,33
1501,bukhan,0,2007-02-10,0.14221438299263395,41
1509,bukhan,0,2007-02-18,0.14221469396880368,49
1517,bukhan,0,2007-02-26,0.14221659873550796,57
1525,bukhan,0,2007-03-06,0.1422282615347451,65
1533,bukhan,0,2007-03-14,0.14229964988243127,73
1541,bukhan,0,2007-03-22,0.14273603978791305,81
1549,bukhan,0,2007-03-30,0.14538263747802577,89
1557,bukhan,0,2007-04-07,0.16069719758501735,97
1565,bukhan,0,2007-04-15,0.23002593833760304,105
1573,bukhan,0,2007-04-23,0.36892708841910604,113
1581,bukhan,0,2007-05-01,0.44790906273619,121
1589,bukhan,0,2007-05-09,0.46635355004045564,129
1597,bukhan,0,2007-05-17,0.46957947259348193,137
1605,bukhan,0,2007-05-25,0.4701118484041468,145
1613,bukhan,0,2007-06-02,0.47019769202338796,153
1621,bukhan,0,2007-06-10,0.4702092068591448,161
1629,bukhan,0,2007-06-18,0.47020615560636797,169
1637,bukhan,0,2007-06-26,0.4701959698350819,177
1645,bukhan,0,2007-07-04,0.470175279847516,185
1653,bukhan,0,2007-07-12,0.470134535938141,193
1661,bukhan,0,2007-07-20,0.47005451714330687,201
1669,bukhan,0,2007-07-28,0.4698974532796651,209
1677,bukhan,0,2007-08-05,0.46958938251607885,217
1685,bukhan,0,2007-08-13,0.4689859469197376,225
1693,bukhan,0,2007-08-21,0.46780711942106074,233
1701,bukhan,0,2007-08-29,0.4655162289925027,241
1709,bukhan,0,2007-09-06,0.4611089868439924,249
1717,bukhan,0,2007-09-14,0.4527928765347932,257
1725,bukhan,0,2007-09-22,0.43765936121732124,265
1733,bukhan,0,2007-09-30,0.4118522459563891,273
1741,bukhan,0,2007-10-08,0.372364355583788,281
1749,bukhan,0,2007-10-16,0.32095000523029193,289
1757,bukhan,0,2007-10-24,0.2664401228335291,297
1765,bukhan,0,2007-11-01,0.21990217497867356,305
1773,bukhan,0,2007-11-09,0.18696941997016606,313
1781,bukhan,0,2007-11-17,0.16663522999880181,321
1789,bukhan,0,2007-11-25,0.1551188412887925,329
1797,bukhan,0,2007-12-03,0.14891349657753633,337
1805,bukhan,0,2007-12-11,0.14565946631521098,345
1813,bukhan,0,2007-12-19,0.14397736283372917,353
1821,bukhan,0,2007-12-27,0.14311427490828313,361
1826,bukhan,0,2008-01-01,0.13912418409098848,1
1834,bukhan,0,2008-01-09,0.1389535150088281,9
1842,bukhan,0,2008-01-17,0.13874951432695193,17
1850,bukhan,0,2008-01-25,0.138506159506075,25
1858,bukhan,0,2008-02-02,0.13821763353911237,33
1866,bukhan,0,2008-02-10,0.1378822803513446,41
1874,bukhan,0,2008-02-18,0.13751853761942917,49
1882,bukhan,0,2008-02-26,0.13722725033760516,57
1890,bukhan,0,2008-03-05,0.1374322116687495,65
1898,bukhan,0,2008-03-13,0.13978927572379785,73
1906,bukhan,0,2008-03-21,0.15037697441640205,81
1914,bukhan,0,2008-03-29,0.18792868215003253,89
1922,bukhan,0,2008-04-06,0.28265386005073184,97
1930,bukhan,0,2008-04-14,0.4078477135888578,105
1938,bukhan,0,2008-04-22,0.4832571340614462,113
1946,bukhan,0,2008-04-30,0.508685873988692,121
1954,bukhan,0,2008-05-08,0.5140971554407581,129
1962,bukhan,0,2008-05-16,0.5133483322856666,137
1970,bukhan,0,2008-05-24,0.5105705509490586,145
1978,bukhan,0,2008-06-01,0.5068167991697546,153
1986,bukhan,0,2008-06-09,0.5022977366690405,161
1994,bukhan,0,2008-06-17,0.49699945456671446,169
2002,bukhan,0,2008-06-25,0.4908475588530645,177
2010,bukhan,0,2008-07-03,0.48375244560318875,185
2018,bukhan,0,2008-07-11,0.4756247420412163,193
2026,bukhan,0,2008-07-19,0.4663841002745218,201
2034,bukhan,0,2008-07-27,0.4559672478700728,209
2042,bukhan,0,2008-08-04,0.44433651988952355,217
2050,bukhan,0,2008-08-12,0.43148863363390844,225
2058,bukhan,0,2008-08-20,0.41746282880181756,233
2066,bukhan,0,2008-08-28,0.40234713499884445,241
2074,bukhan,0,2008-09-05,0.3862813942634754,249
2082,bukhan,0,2008-09-13,0.3694558263349361,257
2090,bukhan,0,2008-09-21,0.35210442779595846,265
2098,bukhan,0,2008-09-29,0.3344933006830473,273
2106,bukhan,0,2008-10-07,0.31690495072905794,281
2114,bukhan,0,2008-10-15,0.2996204307070601,289
2122,bukhan,0,2008-10-23,0.28290167717933334,297
2130,bukhan,0,2008-10-31,0.2669763458213505,305
2138,bukhan,0,2008-11-08,0.25202690565375313,313
2146,bukhan,0,2008-11-16,0.23818488153318423,321
2154,bukhan,0,2008-11-24,0.22553019674267216,329
2162,bukhan,0,2008-12-02,0.21409480301651426,337
2170,bukhan,0,2008-12-10,0.2038693353176859,345
2178,bukhan,0,2008-12-18,0.19481141422362072,353
2186,bukhan,0,2008-12-26,0.18685436839806538,361
2191,bukhan,0,2009-01-01,0.1463876756236883,1
2199,bukhan,0,2009-01-09,0.1463875260047508,9
2207,bukhan,0,2009-01-17,0.14638780226510087,17
2215,bukhan,0,2009-01-25,0.14638964214029043,25
2223,bukhan,0,2009-02-02,0.14639650809594265,33
2231,bukhan,0,2009-02-10,0.14641870483794597,41
2239,bukhan,0,2009-02-18,0.14648656905934243,49
2247,bukhan,0,2009-02-26,0.14668887312035886,57
2255,bukhan,0,2009-03-06,0.14728404769117157,65
2263,bukhan,0,2009-03-14,0.14901773476616226,73
2271,bukhan,0,2009-03-22,0.15399243999751522,81
2279,bukhan,0,2009-03-30,0.16776224043971932,89
2287,bukhan,0,2009-04-07,0.202471014259244,97
2295,bukhan,0,2009-04-15,0.27270420467823364,105
2303,bukhan,0,2009-04-23,0.36767137030600583,113
2311,bukhan,0,2009-05-01,0.4444920921152566,121
2319,bukhan,0,2009-05-09,0.4847057969058953,129
2327,bukhan,0,2009-05-17,0.500988606348762,137
2335,bukhan,0,2009-05-25,0.5067390915612063,145
2343,bukhan,0,2009-06-02,0.508455313383638,153
2351,bukhan,0,2009-06-10,0.5086104090859576,161
2359,bukhan,0,2009-06-18,0.5080292723287233,169
2367,bukhan,0,2009-06-26,0.5069137615231271,177
2375,bukhan,0,2009-07-04,0.5052126960000142,185
2383,bukhan,0,2009-07-12,0.5027395432947332,193
2391,bukhan,0,2009-07-20,0.4991981945676329,201
2399,bukhan,0,2009-07-28,0.4941765461033443,209
2407,bukhan,0,2009-08-05,0.48713391410285567,217
2415,bukhan,0,2009-08-13,0.4774017993800529,225
2423,bukhan,0,2009-08-21,0.4642221271693756,233
2431,bukhan,0,2009-08-29,0.44685305492384336,241
2439,bukhan,0,2009-09-06,0.42476616576410836,249
2447,bukhan,0,2009-09-14,0.39792141898500444,257
2455,bukhan,0,2009-09-22,0.3670301633940334,265
2463,bukhan,0,2009-09-30,0.333641919653542,273
2471,bukhan,0,2009-10-08,0.29991272131872176,281
2479,bukhan,0,2009-10-16,0.26808663612498385,289
2487,bukhan,0,2009-10-24,0.23993234865513,297
2495,bukhan,0,2009-11-01,0.2164126649015829,305
2503,bukhan,0,2009-11-09,0.19768679477358211,313
2511,bukhan,0,2009-11-17,0.18334014379216423,321
2519,bukhan,0,2009-11-25,0.17266912643938417,329
2527,bukhan,0,2009-12-03,0.16490549636761306,337
2535,bukhan,0,2009-12-11,0.15934746261509333,345
2543,bukhan,0,2009-12-19,0.1554142011314742,353
2551,bukhan,0,2009-12-27,0.15265347952650482,361
2556,bukhan,0,2010-01-01,0.12272751787452675,1
2564,bukhan,0,2010-01-09,0.12269799804673243,9
2572,bukhan,0,2010-01-17,0.12266641671279813,17
2580,bukhan,0,2010-01-25,0.12263911533208176,25
2588,bukhan,0,2010-02-02,0.12263212171317467,33
2596,bukhan,0,2010-02-10,0.12268294255321444,41
2604,bukhan,0,2010-02-18,0.1228760164270298,49
2612,bukhan,0,2010-02-26,0.12339718118003615,57
2620,bukhan,0,2010-03-06,0.12464858614933676,65
2628,bukhan,0,2010-03-14,0.12748428581293297,73
2636,bukhan,0,2010-03-22,0.13366359473488465,81
2644,bukhan,0,2010-03-30,0.14659850382474848,89
2652,bukhan,0,2010-04-07,0.17210145097710425,97
2660,bukhan,0,2010-04-15,0.2174664416802431,105
2668,bukhan,0,2010-04-23,0.2855197094973003,113
2676,bukhan,0,2010-05-01,0.3655321677750626,121
2684,bukhan,0,2010-05-09,0.4364743244123255,129
2692,bukhan,0,2010-05-17,0.4849296052438546,137
2700,bukhan,0,2010-05-25,0.5118511084785936,145
2708,bukhan,0,2010-06-02,0.5242865430977481,153
2716,bukhan,0,2010-06-10,0.5283662334116753,161
2724,bukhan,0,2010-06-18,0.5277484273398749,169
2732,bukhan,0,2010-06-26,0.5242541337548651,177
2740,bukhan,0,2010-07-04,0.5186589119032676,185
2748,bukhan,0,2010-07-12,0.5112001637385977,193
2756,bukhan,0,2010-07-20,0.5018525315848905,201
2764,bukhan,0,2010-07-28,0.49047479388952125,209
2772,bukhan,0,2010-08-05,0.4768964164966136,217
2780,bukhan,0,2010-08-13,0.4609794452776299,225
2788,bukhan,0,2010-08-21,0.4426710410229621,233
2796,bukhan,0,2010-08-29,0.4220494261185301,241
2804,bukhan,0,2010-09-06,0.3993580668916126,249
2812,bukhan,0,2010-09-14,0.37501889347608414,257
2820,bukhan,0,2010-09-22,0.3496160946529792,265
2828,bukhan,0,2010-09-30,0.32384795047179016,273
2836,bukhan,0,2010-10-08,0.29845356076809854,281
2844,bukhan,0,2010-10-16,0.27413006661015205,289
2852,bukhan,0,2010-10-24,0.2514594897037465,297
2860,bukhan,0,2010-11-01,0.23086063832131182,305
2868,bukhan,0,2010-11-09,0.21257264358302772,313
2876,bukhan,0,2010-11-17,0.1966670969726754,321
2884,bukhan,0,2010-11-25,0.18307942981076317,329
2892,bukhan,0,2010-12-03,0.17164851433678038,337
2900,bukhan,0,2010-12-11,0.1621554306651192,345
2908,bukhan,0,2010-12-19,0.15435587775359996,353
2916,bukhan,0,2010-12-27,0.14800408128770298,361
2921,bukhan,0,2011-01-01,0.1533437237842681,1
2929,bukhan,0,2011-01-09,0.15327020711475606,9
2937,bukhan,0,2011-01-17,0.15317799214609293,17
2945,bukhan,0,2011-01-25,0.1530623356243877,25
2953,bukhan,0,2011-02-02,0.1529172985673968,33
2961,bukhan,0,2011-02-10,0.15273545109407477,41
2969,bukhan,0,2011-02-18,0.1525075190667852,49
2977,bukhan,0,2011-02-26,0.15222203286889227,57
2985,bukhan,0,2011-03-06,0.15186546666640102,65
2993,bukhan,0,2011-03-14,0.151426218247298,73
3001,bukhan,0,2011-03-22,0.15092481740433172,81
3009,bukhan,0,2011-03-30,0.15061897795579604,89
3017,bukhan,0,2011-04-07,0.15235440294438934,97
3025,bukhan,0,2011-04-15,0.16778578964568694,105
3033,bukhan,0,2011-04-23,0.24853660367958638,113
3041,bukhan,0,2011-05-01,0.4199268545544239,121
3049,bukhan,0,2011-05-09,0.5123129269095721,129
3057,bukhan,0,2011-05-17,0.5298328974571881,137
3065,bukhan,0,2011-05-25,0.5298180423657779,145
3073,bukhan,0,2011-06-02,0.5263249702732727,153
3081,bukhan,0,2011-06-10,0.5215194012297175,161
3089,bukhan,0,2011-06-18,0.5155855250269074,169
3097,bukhan,0,2011-06-26,0.5083934734699996,177
3105,bukhan,0,2011-07-04,0.49976124859431026,185
3113,bukhan,0,2011-07-12,0.4895054048548017,193
3121,bukhan,0,2011-07-20,0.47746464524813126,201
3129,bukhan,0,2011-07-28,0.4635238542485516,209
3137,bukhan,0,2011-08-05,0.4476410801362053,217
3145,bukhan,0,2011-08-13,0.4298744366394213,225
3153,bukhan,0,2011-08-21,0.41040335869021166,233
3161,bukhan,0,2011-08-29,0.3895374933268126,241
3169,bukhan,0,2011-09-06,0.36770741318767614,249
3177,bukhan,0,2011-09-14,0.34543481267926035,257
3185,bukhan,0,2011-09-22,0.323285259156942,265
3193,bukhan,0,2011-09-30,0.30181199122099106,273
3201,bukhan,0,2011-10-08,0.2815022677679702,281
3209,bukhan,0,2011-10-16,0.26273689901717795,289
3217,bukhan,0,2011-10-24,0.24576927008096855,297
3225,bukhan,0,2011-11-01,0.2307244529497421,305
3233,bukhan,0,2011-11-09,0.21761425939822876,313
3241,bukhan,0,2011-11-17,0.20636172236234923,321
3249,bukhan,0,2011-11-25,0.1968285512015812,329
3257,bukhan,0,2011-12-03,0.18884071494149407,337
3265,bukhan,0,2011-12-11,0.18220940302412944,345
3273,bukhan,0,2011-12-19,0.1767464355101954,353
3281,bukhan,0,2011-12-27,0.17227441858375198,361
3286,bukhan,0,2012-01-01,0.1535869985886959,1
3294,bukhan,0,2012-01-09,0.15358691471976096,9
3302,bukhan,0,2012-01-17,0.1535867874666921,17
3310,bukhan,0,2012-01-25,0.15358659448879405,25
3318,bukhan,0,2012-02-02,0.15358630251083266,33
3326,bukhan,0,2012-02-10,0.15358586519324505,41
3334,bukhan,0,2012-02-18,0.15358523975757607,49
3342,bukhan,0,2012-02-26,0.15358454381020642,57
3350,bukhan,0,2012-03-05,0.15358516538742367,65
3358,bukhan,0,2012-03-13,0.15359722606558643,73
3366,bukhan,0,2012-03-21,0.15368917640806198,81
3374,bukhan,0,2012-03-29,0.15431558861474756,89
3382,bukhan,0,2012-04-06,0.1584411400117825,97
3390,bukhan,0,2012-04-14,0.1836648630542025,105
3398,bukhan,0,2012-04-22,0.29081544501313755,113
3406,bukhan,0,2012-04-30,0.45001672727538333,121
3414,bukhan,0,2012-05-08,0.5128786713468458,129
3422,bukhan,0,2012-05-16,0.5246990244889024,137
3430,bukhan,0,2012-05-24,0.5264607609223088,145
3438,bukhan,0,2012-06-01,0.5265909264988907,153
3446,bukhan,0,2012-06-09,0.5264024724850397,161
3454,bukhan,0,2012-06-17,0.5260587006058549,169
3462,bukhan,0,2012-06-25,0.5255294703342825,177
3470,bukhan,0,2012-07-03,0.5247279004065872,185
3478,bukhan,0,2012-07-11,0.5235178804528012,193
3486,bukhan,0,2012-07-19,0.52169661617942,201
3494,bukhan,0,2012-07-27,0.5189668050174793,209
3502,bukhan,0,2012-08-04,0.5149007340519604,217
3510,bukhan,0,2012-08-12,0.5089003789775137,225
3518,bukhan,0,2012-08-20,0.5001660459105066,233
3526,bukhan,0,2012-08-28,0.4877022743703346,241
3534,bukhan,0,2012-09-05,0.47041201164554175,249
3542,bukhan,0,2012-09-13,0.4473431002299848,257
3550,bukhan,0,2012-09-21,0.4181141738032125,265
3558,bukhan,0,2012-09-29,0.3834118982292255,273
3566,bukhan,0,2012-10-07,0.3452550671732074,281
3574,bukhan,0,2012-10-15,0.3066829309177732,289
3582,bukhan,0,2012-10-23,0.270866596594587,297
3590,bukhan,0,2012-10-31,0.24013896731348514,305
3598,bukhan,0,2012-11-08,0.215516214521501,313
3606,bukhan,0,2012-11-16,0.19684236637422337,321
3614,bukhan,0,2012-11-24,0.18326304596855836,329
3622,bukhan,0,2012-12-02,0.17368728387801177,337
3630,bukhan,0,2012-12-10,0.16708015298353096,345
3638,bukhan,0,2012-12-18,0.16258953416053842,353
3646,bukhan,0,2012-12-26,0.1595686123134659,361
3651,bukhan,0,2013-01-01,0.1565112791793848,1
3659,bukhan,0,2013-01-09,0.15651126956606168,9
3667,bukhan,0,2013-01-17,0.15651125414184303,17
3675,bukhan,0,2013-01-25,0.15651122944786278,25
3683,bukhan,0,2013-02-02,0.15651119028743155,33
3691,bukhan,0,2013-02-10,0.15651113080529488,41
3699,bukhan,0,2013-02-18,0.15651105896398054,49
3707,bukhan,0,2013-02-26,0.15651110871885562,57
3715,bukhan,0,2013-03-06,0.15651234074484485,65
3723,bukhan,0,2013-03-14,0.1565223588389965,73
3731,bukhan,0,2013-03-22,0.1565945340933038,81
3739,bukhan,0,2013-03-30,0.15710098409149353,89
3747,bukhan,0,2013-04-07,0.16059795178558403,97
3755,bukhan,0,2013-04-15,0.18307477784058818,105
3763,bukhan,0,2013-04-23,0.2814356363635313,113
3771,bukhan,0,2013-05-01,0.42258088003483096,121
3779,bukhan,0,2013-05-09,0.47396808886060127,129
3787,bukhan,0,2013-05-17,0.4829873319891253,137
3795,bukhan,0,2013-05-25,0.48429466726065146,145
3803,bukhan,0,2013-06-02,0.4844389379864431,153
3811,bukhan,0,2013-06-10,0.48438907979541357,161
3819,bukhan,0,2013-06-18,0.48426874035511575,169
3827,bukhan,0,2013-06-26,0.4840699471554729,177
3835,bukhan,0,2013-07-04,0.4837504623669611,185
3843,bukhan,0,2013-07-12,0.48323871275817004,193
3851,bukhan,0,2013-07-20,0.4824204210513184,201
3859,bukhan,0,2013-07-28,0.48111518965920025,209
3867,bukhan,0,2013-08-05,0.4790413666655353,217
3875,bukhan,0,2013-08-13,0.47576670345635613,225
3883,bukhan,0,2013-08-21,0.4706460796750072,233
3891,bukhan,0,2013-08-29,0.4627598562976962,241
3899,bukhan,0,2013-09-06,0.450894612876268,249
3907,bukhan,0,2013-09-14,0.43365535442019476,257
3915,bukhan,0,2013-09-22,0.4098378370022376,265
3923,bukhan,0,2013-09-30,0.3791229310068042,273
3931,bukhan,0,2013-10-08,0.3428500468242166,281
3939,bukhan,0,2013-10-16,0.3042111507105782,289
3947,bukhan,0,2013-10-24,0.2673210440325713,297
3955,bukhan,0,2013-11-01,0.23560483532573928,305
3963,bukhan,0,2013-11-09,0.21070240420486847,313
3971,bukhan,0,2013-11-17,0.19250699667767027,321
3979,bukhan,0,2013-11-25,0.17989927012588622,329
3987,bukhan,0,2013-12-03,0.17148116212718478,337
3995,bukhan,0,2013-12-11,0.16599866735904764,345
